search URL:,https://patents.google.com/?q=fitness&q=wearables&country=US&after=priority:20110101&language=ENGLISH&type=PATENT
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link
US20140275854A1,Wearable heart rate monitor ,"Fitbit, Inc.","Subramaniam Venkatraman, Shelten Gee Jao Yuen",2012-06-22,2014-06-03,2014-09-18,,https://patents.google.com/patent/US20140275854A1/en
US8920332B2,Wearable heart rate monitor ,"Fitbit, Inc.","Jung Ook Hong, Shelten Gee Jao Yuen",2012-06-22,2014-06-03,2014-12-30,2014-12-30,https://patents.google.com/patent/US8920332B2/en
US20150220109A1,Wearable computing device ,Mechio Inc.,"Curt C. von Badinski, Michael J. Strasser, Peter Twiss",2013-11-29,2014-11-28,2015-08-06,,https://patents.google.com/patent/US20150220109A1/en
US20140073486A1,"Systems, devices and methods for continuous heart rate monitoring and interpretation ","Bobo Analytics, Inc.","William Ahmed, John Capodilupo, Aurelian Nicolae",2012-09-04,2013-09-04,2014-03-13,,https://patents.google.com/patent/US20140073486A1/en
US20140349256A1,Smart Watch and Human-to-Computer Interface for Monitoring Food Consumption ,Robert A. Connor,Robert A. Connor,2013-05-23,2013-05-23,2014-11-27,,https://patents.google.com/patent/US20140349256A1/en
US20140349257A1,Smart Watch and Food Utensil for Monitoring Food Consumption ,Robert A. Connor,Robert A. Connor,2013-05-23,2013-05-23,2014-11-27,,https://patents.google.com/patent/US20140349257A1/en
US20140347491A1,Smart Watch and Food-Imaging Member for Monitoring Food Consumption ,Robert A. Connor,Robert A. Connor,2013-05-23,2013-05-23,2014-11-27,,https://patents.google.com/patent/US20140347491A1/en
US20150168365A1,Caloric Intake Measuring System using Spectroscopic and 3D Imaging Analysis ,Robert A. Connor,Robert A. Connor,2013-12-18,2013-12-18,2015-06-18,,https://patents.google.com/patent/US20150168365A1/en
US20130326790A1,Wearable Band with Ease of Adjustment ,"Motorola Mobility, Inc.","Patrick J. Cauwels, Rachid M. Alameh, Jeong J. Ma, Paul R. Steuer",2012-06-07,2012-06-07,2013-12-12,,https://patents.google.com/patent/US20130326790A1/en
US20160058372A1,Terrain type inference from wearable with motion sensing ,Apple Inc.,"Karthik Jayaraman Raghuram, Hung A. Pham, Richard Channing MOORE, III, Alexander SINGH ALVARADO, Umamahesh Srinivas, Xing Tan",2014-09-02,2014-09-30,2016-03-03,,https://patents.google.com/patent/US20160058372A1/en
US20150148623A1,"Hydration Monitoring Sensor And Method For Cell Phones, Smart Watches, Occupancy Sensors, And Wearables ",David Alan Benaron,David Alan Benaron,2013-11-26,2014-11-25,2015-05-28,,https://patents.google.com/patent/US20150148623A1/en
US20150199494A1,Cloud-based initiation of customized exercise routine ,"Zsolutionz, LLC","Sunil Koduri, Bobby Joe Adams, Surendra P.S. Bhatia, John Michael Hand, Shalini Koduri, John W. Ransone",2014-01-14,2014-12-31,2015-07-16,,https://patents.google.com/patent/US20150199494A1/en
US20130198694A1,Determinative processes for wearable devices ,Aliphcom,"Hosain Sadequr Rahman, Richard Lee Drysdale, Michael Edward Smith Luna, Scott Fullam, Travis Austin Bogard, Jeremiah Robison, Everett Utter II Max, Thomas Alan Donaldson",2011-06-10,2012-06-08,2013-08-01,,https://patents.google.com/patent/US20130198694A1/en
US20160034764A1,Wearable Imaging Member and Spectroscopic Optical Sensor for Food Identification and Nutrition Modification ,Robert A. Connor,Robert A. Connor,2014-08-01,2014-08-01,2016-02-04,,https://patents.google.com/patent/US20160034764A1/en
US20160073886A1,Wearable Spectroscopic Sensor to Measure Food Consumption Based on Interaction Between Light and the Human Body ,Medibotics Llc,Robert A. Connor,2013-05-23,2015-11-24,2016-03-17,,https://patents.google.com/patent/US20160073886A1/en
US20120316455A1,Wearable device and platform for sensory input ,Aliphcom,"Hosain Sadequr Rahman, Richard Lee Drysdale, Michael Edward Smith Luna, Scott Fullam, Travis Austin Bogard, Jeremiah Robison, Everett Utter II Max, Thomas Alan Donaldson, Raymond A. Martino",2011-06-10,2011-07-12,2012-12-13,,https://patents.google.com/patent/US20120316455A1/en
US20160375308A1,System and method for measuring and adjusting physical resistance for athletic activities and fitness equipment ,Intel Corporation,Glen J. Anderson,2015-06-26,2015-09-25,2016-12-29,,https://patents.google.com/patent/US20160375308A1/en
US20150223277A1,Using visible light communication to manage wireless communications between devices ,Qualcomm Incorporated,"Aleksandar Jovicic, Menucher Behram Menuchehry",2014-01-31,2014-01-31,2015-08-06,,https://patents.google.com/patent/US20150223277A1/en
US20130194066A1,Motion profile templates and movement languages for wearable devices ,Aliphcom,"Hosain Sadequr Rahman, Richard Lee Drysdale, Michael Edward Smith Luna, Scott Fullam, Travis Austin Bogard, Jeremiah Robison, Everett Utter II Max, Thomas Alan Donaldson",2011-06-10,2012-06-07,2013-08-01,,https://patents.google.com/patent/US20130194066A1/en
US20120317024A1,Wearable device data security ,Aliphcom,"Hosain Sadequr Rahman, Richard Lee Drysdale, Michael Edward Smith Luna, Scott Fullam, Travis Austin Bogard, Jeremiah Robison, Everett Utter II Max, Thomas Alan Donaldson, Raymond A. Martino",2011-06-10,2011-07-12,2012-12-13,,https://patents.google.com/patent/US20120317024A1/en
US20140275857A1,Metabolic and cardiopulmonary monitor ,"Landy Toth, Robert Schwartz, Roy Martin","Landy Toth, Robert Schwartz, Roy Martin",2011-11-07,2012-11-05,2014-09-18,,https://patents.google.com/patent/US20140275857A1/en
US20140363797A1,Method for providing wellness-related directives to a user ,"Lark Technologies, Inc.","Julia Hu, Jeff Zira",2013-05-28,2014-05-28,2014-12-11,,https://patents.google.com/patent/US20140363797A1/en
