search URL:,https://patents.google.com/?q=autonomous+vehicle&country=US&after=priority:20120101
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link
US20150142248A1,Apparatus and method for providing location and heading information of autonomous driving vehicle on road within housing complex ,Electronics And Telecommunications Research Institute,"Seung-Jun Han, Kyung-Bok SUNG, Kyoung-Wook Min, Jeong-Dan Choi",2013-11-20,2014-10-21,2015-05-21,,https://patents.google.com/patent/US20150142248A1/en
US9121703B1,Methods and systems for controlling operation of a laser device ,Google Inc.,"Pierre-Yves Droz, Chris Urmson",2013-06-13,2013-06-13,2015-09-01,2015-09-01,https://patents.google.com/patent/US9121703B1/en
US20150127239A1,Mapping techniques using probe vehicles ,"Intelligent Technologies International, Inc.","David S. Breed, Ryan Breed",2013-11-01,2014-12-15,2015-05-07,,https://patents.google.com/patent/US20150127239A1/en
US9381916B1,System and method for predicting behaviors of detected objects through environment representation ,Google Inc.,"Jiajun Zhu, David I. Ferguson",2012-02-06,2012-02-06,2016-07-05,2016-07-05,https://patents.google.com/patent/US9381916B1/en
US9412278B1,Authentication systems and methods for generating flight regulations ,"SZ DJI Technology Co., Ltd","Ming Gong, Jin Dai, Hao Cui, Xiaodong Wang, Han Huang, Jun Wu, Wei Fan, Ning Ma, Xinhua Rong, Xingsen Lin",2015-03-31,2015-11-16,2016-08-09,2016-08-09,https://patents.google.com/patent/US9412278B1/en
US20150219464A1,Method and apparatus for providing passenger embarkation points for points of interests ,Here Global B.V.,"Jerome Beaurepaire, Marko Tapio Tuukkanen",2014-02-04,2014-02-04,2015-08-06,,https://patents.google.com/patent/US20150219464A1/en
US20150339589A1,Apparatus and methods for training robots utilizing gaze-based saliency maps ,Brain Corporation,Dimitry Fisher,2014-05-21,2014-05-21,2015-11-26,,https://patents.google.com/patent/US20150339589A1/en
US20140012465A1,Vehicle trailer connect system ,"Uusi, Llc","David W. Shank, Josh Goulet, John Washeleski",2012-07-05,2013-03-13,2014-01-09,,https://patents.google.com/patent/US20140012465A1/en
US8494716B1,Lane keeping system using rear camera ,GM Global Technology Operations LLC,"Jin-woo Lee, Bakhtiar Brian Litkouhi",2012-06-04,2012-06-04,2013-07-23,2013-07-23,https://patents.google.com/patent/US8494716B1/en
US20150344028A1,Parking assist system with annotated map generation ,Magna Electronics Inc.,"Achim Gieseke, Frank Goseberg, Michael Biemer, Ruediger Boegel, Goerg Pflug",2014-06-02,2015-06-01,2015-12-03,,https://patents.google.com/patent/US20150344028A1/en
US9164506B1,Systems and methods for target tracking ,"SZ DJI Technology Co., Ltd",Bo Zang,2014-07-30,2014-08-28,2015-10-20,2015-10-20,https://patents.google.com/patent/US9164506B1/en
US20150353085A1,Lane change path planning algorithm for autonomous driving vehicle ,GM Global Technology Operations LLC,Jin-woo Lee,2014-06-05,2014-06-05,2015-12-10,,https://patents.google.com/patent/US20150353085A1/en
US20140301161A1,Marine seismic survey and method using autonomous underwater vehicles and underwater bases ,Cgg Services Sa,"Thierry BRIZARD, David MAILLOTTE",2012-11-14,2013-08-19,2014-10-09,,https://patents.google.com/patent/US20140301161A1/en
US20140129075A1,Vehicle Control Using Modeled Swarming Behavior ,Dennis M. Carleton,Dennis M. Carleton,2012-11-05,2012-11-05,2014-05-08,,https://patents.google.com/patent/US20140129075A1/en
US20150260526A1,Autonomous vehicle navigation system and method ,Aurora Flight Sciences Corporation,"James Paduano, Terrence Mckenna",2014-03-15,2015-03-13,2015-09-17,,https://patents.google.com/patent/US20150260526A1/en
US20150158528A1,Collision avoidance control integrated with eps controller ,GM Global Technology Operations LLC,"Nikolai K. Moshchuk, Shih-Ken Chen, Chad T. Zagorski",2013-12-11,2013-12-11,2015-06-11,,https://patents.google.com/patent/US20150158528A1/en
US9096150B2,Autonomous vehicle with reconfigurable seats ,"Ford Global Technologies, Llc","Mark A. Cuddihy, Manoharprasad K. Rao, Jialiang Le",2013-11-20,2013-11-20,2015-08-04,2015-08-04,https://patents.google.com/patent/US9096150B2/en
US20150153175A1,Autonomous transport navigation to a shipping location using elements of a wireles node network ,"Fedex Corporate Services, Inc.",Ole-Petter Skaaksrud,2013-11-29,2014-11-12,2015-06-04,,https://patents.google.com/patent/US20150153175A1/en
US20140074339A1,Network of Unmanned Vehicles ,The Boeing Company,"Enrique Juan Magana Casado, David Scarlatti, David Esteban-Campillo, Ivan Maza, Fernando Caballero",2012-03-30,2013-03-21,2014-03-13,,https://patents.google.com/patent/US20140074339A1/en
US20160070264A1,Velocity control for an unmanned aerial vehicle ,"SZ DJI Technology Co., Ltd","Xiao Hu, Ang Liu, Guyue ZHOU, Xuyang Pan",2014-09-05,2015-07-16,2016-03-10,,https://patents.google.com/patent/US20160070264A1/en
US9108584B2,Multi-stage airbag in vehicle with reconfigurable interior ,"Ford Global Technologies, Llc","Manoharprasad K. Rao, Jialiang Le",2013-11-20,2014-10-06,2015-08-18,2015-08-18,https://patents.google.com/patent/US9108584B2/en
US20160364823A1,Systems and methods for on-demand transportation ,Raymond Cao,Raymond Cao,2015-06-11,2015-06-11,2016-12-15,,https://patents.google.com/patent/US20160364823A1/en
US20160209845A1,Autonomous vehicle routing and navigation using passenger docking locations ,"Nissan North America, Inc.","Naoki Kojo, Siddharth Kumar Thakur, Nicolas Meuleau, Daisuke Saito, Nikhil Lele",2015-01-15,2015-01-15,2016-07-21,,https://patents.google.com/patent/US20160209845A1/en
US20140263823A1,Transformable aerial vehicle ,"SZ DJI Technology Co., Ltd","Tao Wang, Tao Zhao, Hao Du, Mingxi Wang",2013-01-10,2014-01-29,2014-09-18,,https://patents.google.com/patent/US20140263823A1/en
US9158980B1,Use of relationship between activities of different traffic signals in a network to improve traffic signal state estimation ,Google Inc.,"David I. Ferguson, Bradley Templeton",2012-09-19,2012-09-19,2015-10-13,2015-10-13,https://patents.google.com/patent/US9158980B1/en
US20150234045A1,Navigation based on radar-cued visual imaging ,Mobileye Vision Technologies Ltd.,"Kevin Rosenblum, Erez Dagan",2014-02-20,2015-02-20,2015-08-20,,https://patents.google.com/patent/US20150234045A1/en
US9086481B1,Methods and systems for estimating vehicle speed ,Google Inc.,"Jonathan Baldwin Dowdall, Jiajun Zhu",2013-01-18,2013-01-18,2015-07-21,2015-07-21,https://patents.google.com/patent/US9086481B1/en
US20160016506A1,Daylight Opening Surround ,Jaguar Land Rover Limited,"Mark Collins, Hugo NIGHTINGALE, Arafat Bhatti",2013-03-12,2014-03-12,2016-01-21,,https://patents.google.com/patent/US20160016506A1/en
US20160039300A1,Systems and methods for uav battery power backup ,"SZ DJI Technology Co., Ltd","Mingxi Wang, Hualiang Qiu, Mingyu Wang",2014-08-08,2015-07-15,2016-02-11,,https://patents.google.com/patent/US20160039300A1/en
US9201424B1,Camera calibration using structure from motion techniques ,Google Inc.,Abhijit Ogale,2013-08-27,2013-08-27,2015-12-01,2015-12-01,https://patents.google.com/patent/US9201424B1/en
US20140111325A1,Steering Wheel Light Bar ,"Tk Holdings, Inc.","Jason Carl Lisseman, Valerie Dawn Gardner, Dwayne Van'tZelfde, Erick Paul Staszak, Norbert Hubert Mueller, David William Andrews",2012-10-23,2013-10-23,2014-04-24,,https://patents.google.com/patent/US20140111325A1/en
US20160129999A1,Drone systems for pre-trip inspection and assisted backing ,Paccar Inc,Wesley Mays,2014-11-07,2014-11-07,2016-05-12,,https://patents.google.com/patent/US20160129999A1/en
US20160132705A1,Method and System for Autonomous Vehicles ,"Joseph E. Kovarik, James J. Kovarik","Joseph E. Kovarik, James J. Kovarik",2014-11-12,2015-11-11,2016-05-12,,https://patents.google.com/patent/US20160132705A1/en
US20160207538A1,Autonomous driving vehicle system ,Toyota Jidosha Kabushiki Kaisha,"Hiromitsu Urano, Kentaro Ichikawa, Taisuke Sugaiwa, Toshiki Kindo",2015-01-19,2016-01-19,2016-07-21,,https://patents.google.com/patent/US20160207538A1/en
US20150323932A1,Autonomous cargo delivery system ,Aurora Flight Sciences Corporation,"James D. Paduano, John B. Wissler, Michael D. Piedmonte, David A. Mindell",2013-11-27,2014-11-26,2015-11-12,,https://patents.google.com/patent/US20150323932A1/en
US20140172290A1,Navigation of on-road vehicle based on vertical elements ,"Toyota Motor Engineering & Manufacturing North America, Inc.","Danil V. Prokhorov, Yasuo Uehara",2012-12-19,2012-12-19,2014-06-19,,https://patents.google.com/patent/US20140172290A1/en
US20140277894A1,Autonomous vehicle comprising extracorporeal blood treatment machine ,"Fresenius Medical Care Holdings, Inc.","Matthew Doyle, Lee TANENBAUM, John TONG",2013-03-15,2013-03-15,2014-09-18,,https://patents.google.com/patent/US20140277894A1/en
US20150339826A1,Apparatus and methods for robotic operation using video imagery ,Brain Corporation,"Marius Buibas, Micah Richert",2014-05-22,2014-05-22,2015-11-26,,https://patents.google.com/patent/US20150339826A1/en
US20150120124A1,Process and device to enable or disable an automatic driving function ,Volkswagen Ag,"Arne Bartels, Andro Kleen, Bernd Dornieden",2013-10-30,2014-10-30,2015-04-30,,https://patents.google.com/patent/US20150120124A1/en
US20140081479A1,Forestry Management System ,The Boeing Company,"John Lyle Vian, George Michael Roe, Josha Przbylko",2012-09-19,2012-09-19,2014-03-20,,https://patents.google.com/patent/US20140081479A1/en
US20150241878A1,Autonomous driving sensing system and method ,"Ford Global Technologies, Llc","Dale Scott Crombez, Thomas Edward Pilutti, Matt Y. Rupp, Roger Arnold Trombley, Andrew Waldis, Peter Francis Worrel, Wilford Trent Yopp",2014-02-25,2014-02-25,2015-08-27,,https://patents.google.com/patent/US20150241878A1/en
US8818609B1,Using geometric features and history information to detect features such as car exhaust in point maps ,Google Inc.,"Aleksey S. Boyko, Jiajun Zhu",2012-11-15,2012-11-15,2014-08-26,2014-08-26,https://patents.google.com/patent/US8818609B1/en
US20140320318A1,Using lighting and other streetside devices to indicate parking space availability and navigation information ,"Silver Spring Networks, Inc.","Dalton Theebaraj Victor, James Alexander Howarth, George Flammer",2013-04-26,2014-04-25,2014-10-30,,https://patents.google.com/patent/US20140320318A1/en
US20140067164A1,Methods and apparatuses for autonomous flight termination ,Alliant Techsystems Inc.,"George B. Papadopoulos, Derek R. DeVries, Steven W. Thomas, Timothy J. Van Dixhorn, Charles L. Weigel, Charles L. Dedon",2012-08-06,2012-08-06,2014-03-06,,https://patents.google.com/patent/US20140067164A1/en
US20150088360A1,"Method for Autonomous Parking of a Motor Vehicle, Driver Assistance Device for Performing the Method and Motor Vehicle with the Driver Assistance Device ",Daimler Ag,"Christophe Bonnet, Andreas Hiller, Gerhard Kuenzel, Martin Moser, Heiko Schiemenz",2012-04-28,2013-01-29,2015-03-26,,https://patents.google.com/patent/US20150088360A1/en
US20140019392A1,Intelligent modular robotic apparatus and methods ,Brain Corporation,Marius Buibas,2012-06-01,2013-03-14,2014-01-16,,https://patents.google.com/patent/US20140019392A1/en
US20140303814A1,"Aerial farm robot system for crop dusting, planting, fertilizing and other field jobs ",Bee Robotics Corporation,"Harm Burema, Anatoly Filin",2013-03-24,2014-03-20,2014-10-09,,https://patents.google.com/patent/US20140303814A1/en
US8996207B2,Systems and methods for autonomous landing using a three dimensional evidence grid ,Honeywell International Inc.,"Emray Rein Goossen, Yunqian Ma",2013-06-24,2013-06-24,2015-03-31,2015-03-31,https://patents.google.com/patent/US8996207B2/en
US20160355192A1,Transitioning between operational modes of an autonomous vehicle ,"Toyota Motor Engineering & Manufacturing North America, Inc., Toyota Jidosha Kabushiki Kaisha","Michael R. James, Katsuhiro Sakai, Toshiki Kindo, Danil V. Prokhorov, Masahiro Harada",2015-06-04,2015-06-04,2016-12-08,,https://patents.google.com/patent/US20160355192A1/en
US20150353082A1,Unified motion planning algorithm for autonomous driving vehicle in obstacle avoidance maneuver ,Carnegie Mellon University,"Jin-woo Lee, Upali Priyantha Mudalige, Tianyu Gu, John M. Dolan",2014-06-05,2014-06-05,2015-12-10,,https://patents.google.com/patent/US20150353082A1/en
US20150294422A1,Assessing asynchronous authenticated data sources for use in driver risk management ,"Maris, Ltd.","Christopher J. Carver, Kevin Wolsey",2014-04-15,2015-04-15,2015-10-15,,https://patents.google.com/patent/US20150294422A1/en
US20140163730A1,Human Augmentation of Robotic Work ,International Electronic Machines Corporation,Zahid F. Mian,2012-12-06,2013-12-05,2014-06-12,,https://patents.google.com/patent/US20140163730A1/en
US20130290234A1,"Intelligent Consumer Service Terminal Apparatuses, Methods and Systems ",Visa International Service Association,"Theodore Harris, Patrick L. Faith",2012-02-02,2013-06-20,2013-10-31,,https://patents.google.com/patent/US20130290234A1/en
US9063548B1,Use of previous detections for lane marker detection ,Google Inc.,"David Ian Ferguson, Turgay Senlet",2012-12-19,2012-12-19,2015-06-23,2015-06-23,https://patents.google.com/patent/US9063548B1/en
US8849523B1,Systems and methods for detecting soil characteristics ,Elwha Llc,"Alistair K. Chan, William D. Duncan, Roderick A. Hyde, Lowell L. Wood, JR.",2013-05-20,2013-05-20,2014-09-30,2014-09-30,https://patents.google.com/patent/US8849523B1/en
US20150254988A1,Flight control for flight-restricted regions ,"SZ DJI Technology Co., Ltd","Mingyu Wang, Tao Wang, Jianyu Song",2014-04-17,2014-04-25,2015-09-10,,https://patents.google.com/patent/US20150254988A1/en
US20140239602A1,Autonomous control damper ,Tenneco Automotive Operating Company Inc.,"David R. Blankenship, Scott S. DUNAWAY, Karl C. Kazmirski, Mayur RATHAN",2013-02-28,2014-02-27,2014-08-28,,https://patents.google.com/patent/US20140239602A1/en
US20160091899A1,Apparatus for guiding an autonomous vehicle towards a docking station ,Dyson Technology Limited,"Michael David Aldred, Simon EDWARDS-PARTON",2013-05-10,2014-04-25,2016-03-31,,https://patents.google.com/patent/US20160091899A1/en
US20150045992A1,Work vehicle robotic platform ,"Autonomous Solutions, Inc., Cnh Industrial America Llc","Robert D. Ashby, Brad A. Baillio, Matthew D. Berkemeier, John Droter, Jeffrey L. Ferrin, Mark D. Hayes, Joshua Henrie, Michael G. Hornberger, Daniel J. Morwood, John A. M. Petersen, Thomas M. PETROFF, Eric A. Poulson, Colton J. Schenk, Devin M. Stewart, J. Brian Stewart, Melvin W. Torrie, Mitchel R. Torrie, Bret T. Turpin, Geoffrey L. Viola",2013-08-08,2014-08-08,2015-02-12,,https://patents.google.com/patent/US20150045992A1/en
US20150025731A1,Interactive automated driving system ,"Toyota Motor Engineering & Manufacturing North America, Inc.",Yasuo Uehara,2013-07-17,2013-07-17,2015-01-22,,https://patents.google.com/patent/US20150025731A1/en
US20130206921A1,"System, apparatus and method for long endurance vertical takeoff and landing vehicle ",Aurora Flight Sciences Corporation,"James Donald Paduano, Paul Nils Dahlstrand, John Brooke Wissler",2012-02-15,2012-02-15,2013-08-15,,https://patents.google.com/patent/US20130206921A1/en
US9513632B1,Driving mode alerts from self-driving vehicles ,International Business Machines Corporation,"Michael S. Gordon, James R. Kozloski, Ashish Kundu, Peter K. Malkin, Clifford A. Pickover",2015-09-16,2015-09-16,2016-12-06,2016-12-06,https://patents.google.com/patent/US9513632B1/en
US9085362B1,Counter-unmanned aerial vehicle system and method ,Lockheed Martin Corporation,"James C. Kilian, Brede J. Wegener, Eric Wharton, David R. Gavelek",2012-11-21,2012-11-21,2015-07-21,2015-07-21,https://patents.google.com/patent/US9085362B1/en
US20140052323A1,Transport facility for autonomous navigation and method for determining damage to a motor vehicle ,Audi Ag,"Michael Reichel, Andreas Siegel",2012-08-17,2013-08-16,2014-02-20,,https://patents.google.com/patent/US20140052323A1/en
US9176500B1,Consideration of risks in active sensing for an autonomous vehicle ,Google Inc.,"Eric Teller, Peter Lombrozo",2012-05-14,2014-06-11,2015-11-03,2015-11-03,https://patents.google.com/patent/US9176500B1/en
US20140244125A1,Driver behavior from probe data for augmenting a data model ,Navteq B.V.,"Ole Henry Dorum, Jane MacFarlane",2013-02-27,2013-06-03,2014-08-28,,https://patents.google.com/patent/US20140244125A1/en
US20150142246A1,Autonomous vehicle with reconfigurable interior ,"Ford Global Technologies, Llc","Mark A. Cuddihy, Christopher Attard, Jeff Allen Greenberg, Rajit Johri, Devinder Singh Kochhar, Jialiang Le, Manoharprasad K. Rao, Matthew Y. Rupp, John Shutko, Roger Arnold Trombley, Hongtei Eric Tseng, Andrew Waldis",2013-11-20,2014-03-20,2015-05-21,,https://patents.google.com/patent/US20150142246A1/en
US20150246673A1,Vehicle operator monitoring and operations adjustments ,"Ford Global Technologies, Llc","Fling Tseng, Hsin-Hsiang Yang, Kwaku O. Prakah-Asante",2014-02-28,2014-02-28,2015-09-03,,https://patents.google.com/patent/US20150246673A1/en
US8788134B1,Autonomous driving merge management system ,GM Global Technology Operations LLC,"Bakhtiar Brian Litkouhi, Junqing Wei, John M. Dolan",2013-01-04,2013-01-04,2014-07-22,2014-07-22,https://patents.google.com/patent/US8788134B1/en
US20140249693A1,Controlling unmanned aerial vehicles as a flock to synchronize flight in aerial displays ,"Disney Enterprises, Inc.","James Alexander Stark, Clifford Wong, Robert Scott Trowbridge",2013-02-15,2013-02-15,2014-09-04,,https://patents.google.com/patent/US20140249693A1/en
US20140136187A1,Vehicle personal assistant ,Sri International,"Michael J. Wolverton, William S. Mark, Harry Bratt, Douglas A. Bercow",2012-11-15,2012-11-15,2014-05-15,,https://patents.google.com/patent/US20140136187A1/en
US20140077969A1,Forest Sensor Deployment and Monitoring System ,The Boeing Company,"John Lyle Vian, Charles B. Spinelli, Brian J. Tillotson, George Michael Roe, Joshua Przybylko",2012-09-19,2012-12-07,2014-03-20,,https://patents.google.com/patent/US20140077969A1/en
US9524648B1,Countermeasures for threats to an uncrewed autonomous vehicle ,"Amazon Technologies, Inc.","Varadarajan Gopalakrishnan, Jesper Mikael Johansson, James Domit Mackraz, Jon Arron McClintock, Brandon William Porter, Andrew Jay Roths",2014-11-17,2014-11-17,2016-12-20,2016-12-20,https://patents.google.com/patent/US9524648B1/en
US20160122038A1,Optically assisted landing of autonomous unmanned aircraft ,Singularity University,"Zachary Fleischman, Chris Sullivan",2014-02-25,2015-02-25,2016-05-05,,https://patents.google.com/patent/US20160122038A1/en
US20150225081A1,Systems and methods for execution of recovery actions on an unmanned aerial vehicle ,"Kespry, Inc.","Benjamin Stuart Stabler, Robert Parker Clark, Nathaniel Hall-Snyder, Paul Doersch",2013-10-21,2015-04-22,2015-08-13,,https://patents.google.com/patent/US20150225081A1/en
US20140156157A1,Braking control system for vehicle ,Magna Electronics Inc.,"Nathaniel S. Johnson, William J. Chundrlik, Jr., Paul A. VanOphem, Christopher L. Van Dan Elzen",2012-11-19,2013-11-18,2014-06-05,,https://patents.google.com/patent/US20140156157A1/en
US20140074338A1,Method and device for operating a driver assistance system of a vehicle ,Robert Bosch Gmbh,"Stefan Nordbruch, Michael Fausten",2012-09-11,2013-08-28,2014-03-13,,https://patents.google.com/patent/US20140074338A1/en
US9307383B1,Request apparatus for delivery of medical support implement by UAV ,Google Inc.,William Graham Patrick,2013-06-12,2013-06-12,2016-04-05,2016-04-05,https://patents.google.com/patent/US9307383B1/en
US20160127931A1,Efficient Localization of Transmitters Within Complex Electromagnetic Environments ,"Bastille Networks, Inc.","Robert John BAXLEY, Justin Trent Altman",2014-10-30,2015-10-30,2016-05-05,,https://patents.google.com/patent/US20160127931A1/en
US20150136012A1,Modular rapid development system for building underwater robots and robotic vehicles ,Eddie Hugh Williams,Eddie Hugh Williams,2013-09-24,2014-09-24,2015-05-21,,https://patents.google.com/patent/US20150136012A1/en
US20140365258A1,Job management system for a fleet of autonomous mobile robots ,"Adept Technology, Inc.","Matthew Vestal, Matthew LaFary, Peter Stopera",2012-02-08,2013-02-08,2014-12-11,,https://patents.google.com/patent/US20140365258A1/en
US20140140575A1,Image capture with privacy protection ,Mace Wolf,Mace Wolf,2012-11-19,2013-11-19,2014-05-22,,https://patents.google.com/patent/US20140140575A1/en
US20130253753A1,Detecting lane markings ,Google Inc.,"Donald Jason Burnette, David I. Ferguson",2012-03-23,2012-03-23,2013-09-26,,https://patents.google.com/patent/US20130253753A1/en
US8825226B1,Deployment of mobile automated vehicles ,"Amazon Technologies, Inc.","William Spencer Worley, III, Eric Mathew Clayton",2013-12-17,2013-12-17,2014-09-02,2014-09-02,https://patents.google.com/patent/US8825226B1/en
US20150228195A1,Method and apparatus for providing vehicle synchronization to facilitate a crossing ,Here Global B.V.,"Jerome Beaurepaire, Philippe Beaurepaire, Marko Tapio Tuukkanen",2014-02-07,2014-02-07,2015-08-13,,https://patents.google.com/patent/US20150228195A1/en
US20140218187A1,Assessment and management of emotional state of a vehicle operator ,"Anthony L. Chun, Glen J. Anderson, Albert Yosher","Anthony L. Chun, Glen J. Anderson, Albert Yosher",2013-02-04,2013-02-04,2014-08-07,,https://patents.google.com/patent/US20140218187A1/en
US20150131080A1,Methods and Apparatus for Array Based Lidar Systems with Reduced Interference ,Facet Technology Corp.,"Jamie E. Retterath, Robert A. Laumeyer",2013-11-12,2013-11-12,2015-05-14,,https://patents.google.com/patent/US20150131080A1/en
US20160357192A1,Autonomous Unmanned Aerial Vehicle Decision-Making ,The Boeing Company,"James Statelar McGrew, John Lyle Vian",2015-06-05,2015-06-05,2016-12-08,,https://patents.google.com/patent/US20160357192A1/en
US8494689B1,Autonomous coordination of agents ,Raytheon Company,Geoffrey D. Ashton,2012-05-09,2012-05-09,2013-07-23,2013-07-23,https://patents.google.com/patent/US8494689B1/en
US20140081573A1,Detecting road weather conditions ,Google Inc.,"Christopher Paul Urmson, Michael Steven Montemerlo, Jiajun Zhu",2012-09-20,2012-09-20,2014-03-20,,https://patents.google.com/patent/US20140081573A1/en
US20150350914A1,Ground and air vehicle electromagnetic signature detection and localization ,"Bastille Networks, Inc.","Robert John BAXLEY, Christopher Jay Rouland",2014-06-02,2015-06-02,2015-12-03,,https://patents.google.com/patent/US20150350914A1/en
US20130219294A1,Team-Oriented Human-Vehicle Interface For Adaptive Cruise Control System And Methods For Using Same ,GM Global Technology Operations LLC,"Claudia V. Goldman-Shenhar, Asaf Degani, Omer Tsimhoni, Christopher T. Thibodeau",2012-02-16,2013-02-15,2013-08-22,,https://patents.google.com/patent/US20130219294A1/en
US20160221683A1,Hybrid Power Systems for Vehicle with Hybrid Flight Modes ,Google Inc.,"John Roberts, Abe Bachrach, James Ryan Burgess",2014-05-19,2014-05-19,2016-08-04,,https://patents.google.com/patent/US20160221683A1/en
US20140225990A1,Depth sensing method and system for autonomous vehicles ,Honda Research Institute Europe Gmbh,"Nils EINECKE, Julian Eggert",2013-01-16,2014-01-10,2014-08-14,,https://patents.google.com/patent/US20140225990A1/en
US20150039173A1,Method and appratus for causing an adjustment in parking position for vehicles ,Here Global B.V.,"Jerome Beaurepaire, Ari A. AARNIO",2013-07-31,2013-07-31,2015-02-05,,https://patents.google.com/patent/US20150039173A1/en
US9483948B1,Automated control of interactions between self-driving vehicles and pedestrians ,International Business Machines Corporation,"Michael S. Gordon, James R. Kozloski, Ashish Kundu, Peter K. Malkin, Clifford A. Pickover",2015-08-07,2015-08-07,2016-11-01,2016-11-01,https://patents.google.com/patent/US9483948B1/en
US20140139116A1,Luminaire with ambient sensing and autonomous control capabilities ,"Express Imaging Systems, Llc",William G. Reed,2012-11-19,2013-03-05,2014-05-22,,https://patents.google.com/patent/US20140139116A1/en
US9097800B1,Solid object detection system using laser and radar sensor fusion ,Google Inc.,Jiajun Zhu,2012-10-11,2012-10-11,2015-08-04,2015-08-04,https://patents.google.com/patent/US9097800B1/en
US20150370255A1,Methods for operation of autonomous vehicles in special control zones ,Thomas Danaher Harvey,Thomas Danaher Harvey,2015-02-01,2015-08-27,2015-12-24,,https://patents.google.com/patent/US20150370255A1/en
US20140018994A1,Drive-Control Systems for Vehicles Such as Personal-Transportation Vehicles ,"Thomas A. Panzarella, John R. Spletzer","Thomas A. Panzarella, John R. Spletzer",2012-07-13,2013-07-12,2014-01-16,,https://patents.google.com/patent/US20140018994A1/en
US9495874B1,Automated system and method for modeling the behavior of vehicles and other agents ,Google Inc.,"Jiajun Zhu, David I. Ferguson, Dmitri A. Dolgov",2012-04-13,2012-04-13,2016-11-15,2016-11-15,https://patents.google.com/patent/US9495874B1/en
US20160327950A1,Virtual camera interface and other user interaction paradigms for a flying digital assistant ,"Skydio, Inc.","Abraham Bachrach, Adam Bry, Matthew Donahoe",2014-06-19,2015-04-16,2016-11-10,,https://patents.google.com/patent/US20160327950A1/en
US20150088358A1,Transitioning from autonomous vehicle control to driver control to responding to driver control ,"Ford Global Technologies, Llc",Wilford Trent Yopp,2013-09-24,2013-09-24,2015-03-26,,https://patents.google.com/patent/US20150088358A1/en
US20150234387A1,Unmanned vehicle (uv) control system ,Accenture Global Services Limited,"Pramila Mullan, Walid Negm, Edy S. Liongosari, Paul BARSAMIAN, Brian Richards, Sang-Ik Kim, Michael MUI, Robert FENNEY",2014-02-14,2015-02-11,2015-08-20,,https://patents.google.com/patent/US20150234387A1/en
US20140195114A1,Suspension Control System To Facilitate Wheel Motions During Parking ,"Ford Global Technologies, Llc","Eric H. Tseng, Davor Hrovat, Jianbo Lu, Mitch McConnell, Matthias Dehmel, Michael Seemann, Fredrick V. Owens",2013-01-10,2013-01-10,2014-07-10,,https://patents.google.com/patent/US20140195114A1/en
US20150127208A1,Remote-controlled maneuvering of a motor vehicle with the aid of a portable communication device ,Valeo Schalter Und Sensoren Gmbh,"Nicolas Jecker, Oliver Grimm, Vsevolod Vovkushevsky",2012-04-20,2013-04-10,2015-05-07,,https://patents.google.com/patent/US20150127208A1/en
US8874356B1,Methods and systems for decomposing fleet planning optimizations via spatial partitions ,Google Inc.,Keith Allen Bonawitz,2013-01-24,2013-01-24,2014-10-28,2014-10-28,https://patents.google.com/patent/US8874356B1/en
US20140022051A1,Unmanned device interaction methods and systems ,"Elwha LLC, a limited liability company of the State of Delaware","Royce A. Levien, Richard T. Lord, Robert W. Lord, Mark A. Malamud, John D. Rinaldo, Jr., Lowell L. Wood, JR.",2012-07-17,2012-08-31,2014-01-23,,https://patents.google.com/patent/US20140022051A1/en
US20140253722A1,Apparatus and method for estimating and using a predicted vehicle speed in an indirect vision driving task ,U.S. Army Research Laboratory Attn: Rdrl-Loc-I,Christopher C. Smyth,2013-03-11,2013-03-11,2014-09-11,,https://patents.google.com/patent/US20140253722A1/en
US20160039541A1,Robust and autonomous docking and recharging of quadrotors ,"Disney Enterprises, Inc.","Paul A. Beardsley, Michael Eriksson, Javier Alonso-Mora, Joern Rehder",2014-08-06,2014-08-06,2016-02-11,,https://patents.google.com/patent/US20160039541A1/en
US20150338204A1,Apparatus and methods for distance estimation using multiple image sensors ,Brain Corporation,"Micah Richert, Marius Buibas, Vadim Polonichko",2014-05-22,2014-05-22,2015-11-26,,https://patents.google.com/patent/US20150338204A1/en
US20150260530A1,Method and system for determining a position of a vehicle ,Volvo Car Corporation,"Erik STENBORG, Joakim SORSTEDT",2014-03-11,2015-03-04,2015-09-17,,https://patents.google.com/patent/US20150260530A1/en
US20140309836A1,Position Estimation and Vehicle Control in Autonomous Multi-Vehicle Convoys ,"Neya Systems, Llc",Mark Daniel Ollis,2013-04-16,2014-01-21,2014-10-16,,https://patents.google.com/patent/US20140309836A1/en
US8855849B1,Object detection based on known structures of an environment of an autonomous vehicle ,Google Inc.,"David I. Ferguson, Abhijit Ogale",2013-02-25,2013-02-25,2014-10-07,2014-10-07,https://patents.google.com/patent/US8855849B1/en
US20150253775A1,All weather autonomously driven vehicles ,Cybernet Systems Corporation,"Charles J. Jacobus, Douglas Haanpaa",2014-03-04,2014-03-04,2015-09-10,,https://patents.google.com/patent/US20150253775A1/en
US8830322B2,Controlling use of a single multi-vehicle parking space and a restricted location within the single multi-vehicle parking space using multiple cameras ,"Cloudparc, Inc.","Steven David Nerayoff, Thompson S. Wong",2012-08-06,2012-11-27,2014-09-09,2014-09-09,https://patents.google.com/patent/US8830322B2/en
